Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,396.670730249751,394.65641001891,393.886422327628,426.74880754362,455.614016909798,480.08585075452,490.388026533289,537.955492792911,613.06204104124,679.211477428056,757.385280361508,837.336944695647,859.680536375497,958.262989798283,1094.46199702838,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41611680774
Bangladesh,BGD,"School enrollment, tertiary (% gross)",SE.TER.ENRR,5.25165987014771,6.17244005203247,5.91559982299805,5.99128007888794,5.55667018890381,6.13484001159668,7.07040023803711,7.66305017471313,8.62265968322754,10.4939298629761,,13.2663245348367,13.4211598649529,13.4900578063704,13.5777392703559,15.5739926180902,17.3985207411042,18.5175604399834,19.5710492453779,22.7094642473405,22.6923019564501,23.9006822335243,23.5005059888653,24.2003442708621,23.7295608009814
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.12508010864258,2.17193007469177,2.01714992523193,2.06939005851746,1.94014000892639,,2.13128995895386,2.20221996307373,2.0545699596405,1.93941998481751,,2.13269996643066,2.17549991607666,1.96616005897522,2.09871663086838,1.87225417109978,1.28183996677399,2.11342875356648,2.09477473545666,1.13094997406006,2.13974351741877,2.17090882504654,2.08538657806243,2.16213826344701,2.0343847791384
Bangladesh,BGD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.09090909090909,,2.0,2.0,2.0,14.7826086956522,15.0724637681159,,6.33333333333333,18.5507246376812,18.5507246376812,19.7142857142857,19.7142857142857,19.7142857142857,19.8275862068966,20.0,20.0,20.2857142857143,20.2857142857143,20.6303724928367,20.9169054441261,20.8571428571429,20.8571428571429,20.8571428571429,
Bangladesh,BGD,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,5.21146441,3.57855344,4.5399313,4.7553134,4.86526632,4.38883734,4.7282033,5.07518816,3.84091425,4.11533833,4.43941641,4.18159103,4.01620436,3.61745524,3.59245324,3.37688875,4.09935808,4.10705233,3.75035429,2.66421318,2.67329168,3.00425434,2.623276,2.47161961,
Bangladesh,BGD,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,19.3150811251213,21.9310884356931,24.8420110083177,28.0444120847605,29.2028328870851,30.4395142362302,30.877011938852,31.3752643173313,31.8272281233023,32.2859108313342,32.7415073670905,33.1927100053692,33.6489046386861,34.1119221655313,35.0586926571988,35.9780592358065,36.8757190279881,38.9833714183869,39.180939785584,39.355073841414,38.482235139488,38.2385272243361,38.3624693337989,37.0078031657165,37.3715657723132
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.27,3.609,3.966,4.32,4.316,4.25,3.591,4.015,4.49,5.0,3.379,3.737,4.07,4.426,4.417,4.397,4.35,4.372,4.439,4.504,5.539,5.457,4.593,3.352,3.635
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3766.54786339835,3176.28975052524,2855.94017137049,3090.6068907839,3663.82262497811,4827.78165890291,5934.14561857454,7409.69003822861,8908.33338467948,8678.6584730653,11403.2840038694,13396.6263158041,12521.7238454434,12458.8903396625,12274.9941630213,8936.1955889444,8836.28546025694,10080.5078722821,9300.66072904004,9029.83304401079,7074.19407495707,7972.53696080695,9281.33282136864,10377.5897719195,10310.5488778166
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,43.2308616638184,44.3393707275391,47.1568717956543,48.4340400695801,48.3333396911621,50.0267486572266,51.1916885375977,52.6240615844727,54.572811126709,56.8306198120117,60.3906211853027,,
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.94893002510071,3.84468007087708,3.75037002563477,,3.97447991371155,4.47908020019531,4.87060022354126,4.97425985336304,5.2688398361206,5.46355009078979,5.64879989624023,5.73741006851196,5.85510015487671,5.8388500213623,5.94848012924194,6.24105978012085,6.314040184021,6.32047986984253,6.08851003646851,5.96346998214722,5.77150011062622,5.4969801902771,5.61922979354858,,
